,movie_id,title,movie_rating,release_date,runtime,metascore,imdb_rating,budget,boxoffice,buzz
487,695.0,Broken English,PG-13,2008-07-16,93.0,61.0,6.3,17500000,121463226,14
488,697.0,Provoked: A True Story,Not Rated,2007-04-06,113.0,39.0,6.6,75000000,118871849,5
489,698.0,Starting Out in the Evening,PG-13,2007-01-01,111.0,78.0,7.0,61000000,118594548,5
490,699.0,The Brothers Solomon,R,2007-09-07,93.0,32.0,5.3,85000000,117144465,3
491,700.0,Saawariya,PG,2007-11-09,142.0,44.0,5.2,120000000,115802596,7
492,702.0,The Hunting Party,R,2007-09-21,101.0,54.0,6.8,175000000,100289690,4
495,705.0,Sharkwater,PG,2007-11-02,89.0,59.0,7.9,45000000,93466502,8
496,706.0,Arctic Tale,G,2007-08-17,90.0,64.0,6.9,22000000,90648202,7
498,709.0,The Ten,R,2008-04-25,96.0,50.0,5.0,25000000,82234139,45
499,710.0,Rocket Science,R,2007-09-28,101.0,73.0,6.6,20000000,80818974,9
500,713.0,Lady Chatterley,R,2006-11-01,168.0,80.0,6.7,25000000,74273505,2
502,717.0,Molière,PG-13,2007-01-31,120.0,59.0,7.2,22500000,71985628,2
503,718.0,Journey from the Fall,R,2006-04-21,135.0,70.0,7.2,205000000,70107728,1
505,721.0,DOA: Dead or Alive,PG-13,2007-06-15,87.0,38.0,4.8,10000000,63300095,12
506,722.0,Dnevnoy dozor,R,2007-06-15,132.0,59.0,6.5,14000000,61356221,12
509,728.0,Interview,R,2007-05-10,84.0,64.0,6.8,15000000,55204525,45
510,729.0,Jindabyne,R,2006-07-20,123.0,65.0,6.3,35000000,54149098,7
512,734.0,This Is England,Not Rated,2007-04-27,101.0,86.0,7.7,48000000,53606916,8
514,736.0,Constellation,PG-13,2007-02-02,96.0,41.0,4.4,30000000,50980159,8
515,737.0,Chalk,PG-13,2007-04-11,85.0,70.0,6.2,45000000,50648679,5
516,738.0,God Grew Tired of Us: The Story of Lost Boys of Sudan,PG,2007-01-12,89.0,72.0,7.9,40000000,50572589,3
518,740.0,Fido,R,2007-03-16,93.0,70.0,6.7,13000000,49121934,4
519,744.0,Ten Canoes,Unrated,2006-06-29,90.0,82.0,7.0,21500000,49033882,1
520,745.0,Southland Tales,R,2007-12-07,145.0,44.0,5.4,20000000,47852604,17
523,750.0,Steep,PG,2008-09-26,92.0,58.0,7.3,60000000,47003582,9
524,751.0,Noelle,G,2019-11-12,100.0,48.0,6.3,35000000,43799818,2
526,754.0,Youth Without Youth,R,2007-10-26,124.0,43.0,6.2,28000000,43107979,2
527,755.0,O Jerusalem,R,2006-10-18,100.0,39.0,6.1,39000000,42674040,2
530,761.0,Eagle vs Shark,R,2007-08-30,88.0,55.0,6.8,25000000,40222514,10
531,762.0,Boy Culture,Unrated,2007-01-31,88.0,56.0,6.8,20000000,39739367,1
532,764.0,First Snow,R,2007-03-23,101.0,58.0,6.2,24000000,39687694,7
533,765.0,Trade,R,2007-10-18,120.0,42.0,7.3,30000000,39568996,49
535,768.0,Milarepa,PG,2008-09-05,90.0,52.0,7.0,70000000,38634938,9
536,772.0,What Would Jesus Buy?,PG,2007-11-16,91.0,60.0,6.3,70000000,36793804,9
538,774.0,Lonely Hearts,R,2006-10-21,108.0,60.0,6.4,21000000,36605602,9
539,775.0,Vitus,PG,2006-12-07,123.0,63.0,7.6,17000000,35662731,1
540,776.0,Offside,PG,2006-05-26,93.0,85.0,7.3,16000000,35374833,1
542,779.0,Hatchet,R,2010-04-02,93.0,57.0,5.7,25000000,35017297,39
544,781.0,Hollywood Dreams,R,2007-05-25,100.0,52.0,4.6,85000000,33080084,3
548,789.0,Red Road,Not Rated,2006-10-27,113.0,73.0,6.8,25000000,31664162,3
550,791.0,ShowBusiness: The Road to Broadway,PG,2007-04-19,102.0,73.0,7.9,15000000,30226144,1
551,795.0,Severance,R,2006-08-25,96.0,62.0,6.5,15000000,28638916,12
552,800.0,Fay Grim,R,2007-09-27,118.0,52.0,6.2,28000000,28563179,5
554,806.0,Darfur Now,PG,2007-11-02,98.0,66.0,6.7,50000000,27669725,1
557,809.0,Tortilla Heaven,PG-13,2008-10-14,98.0,22.0,5.4,13000000,25593755,2
558,811.0,Reservation Road,R,2008-06-19,102.0,46.0,6.7,20000000,25584685,13
559,813.0,King Corn,Unrated,2009-04-25,88.0,70.0,7.0,40000000,25126214,18
560,815.0,Civic Duty,R,2008-09-11,98.0,48.0,6.2,53000000,25031037,10
561,817.0,Dedication,R,2008-10-10,95.0,50.0,6.7,9000000,24538513,9
562,818.0,A fost sau n-a fost?,Unrated,2006-09-29,89.0,77.0,7.3,45000000,24343673,9
565,825.0,Black Sheep,Not Rated,2007-03-29,87.0,62.0,5.8,16000000,23618786,18
566,828.0,The Treatment,Not Rated,2006-04-28,86.0,54.0,5.9,25000000,22486409,11
569,836.0,Gray Matters,PG-13,2007-07-13,96.0,31.0,5.7,15000000,20804166,16
571,841.0,Behind the Mask: The Rise of Leslie Vernon,R,2006-10-13,92.0,66.0,6.7,10000000,20342161,4
572,843.0,Diggers,R,2007-03-30,96.0,66.0,6.3,19000000,20300218,8
573,844.0,Redacted,R,2007-11-16,90.0,52.0,6.1,20000000,19661987,3
574,846.0,Right at Your Door,R,2006-09-08,96.0,57.0,6.1,1500000,19097550,3
576,848.0,The Nines,R,2007-11-30,100.0,52.0,6.3,20000000,18882880,12
577,849.0,Dans Paris,Unrated,2006-10-04,92.0,60.0,6.5,16500000,18663911,1
578,850.0,Nue propriété,Unrated,2007-01-24,95.0,78.0,6.9,20000000,18354356,1
579,851.0,My Brother,PG-13,2007-03-16,100.0,33.0,5.4,35000000,18317151,15
580,854.0,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",Unrated,2006-03-10,90.0,65.0,7.2,70000000,18211013,2
581,855.0,Finishing the Game: The Search for a New Bruce Lee,Not Rated,2007-01-21,84.0,46.0,6.0,7500000,17544812,2
582,856.0,Fong juk,R,2006-10-19,110.0,73.0,7.2,50000000,17181265,2
583,858.0,Direktøren for det hele,Not Rated,2006-12-08,99.0,71.0,6.7,20000000,16574590,2
585,863.0,Alice Neel,Not Rated,2009-05-22,81.0,60.0,6.9,55000000,16285240,12
586,864.0,The Situation,R,2021-08-01,111.0,45.0,6.3,47000000,15849032,42
587,867.0,Two Weeks,R,2006-10-20,102.0,44.0,6.4,20000000,15800078,13
590,877.0,Beyond the Gates,Not Rated,2016-12-09,84.0,59.0,5.2,80000000,15132763,9
591,878.0,Controlled Chaos,R,2007-10-10,92.0,21.0,7.4,80000000,15074191,9
592,879.0,The Life of Reilly,Unrated,2006-03-12,84.0,72.0,8.1,35000000,14998070,9
593,885.0,Black Friday,Not Rated,2007-02-09,143.0,76.0,8.5,8600000,14373825,15
594,887.0,The Tracey Fragments,R,2008-02-21,77.0,54.0,6.1,25000000,13938332,15
596,891.0,Wind Chill,R,2007-08-03,91.0,52.0,5.8,8500000,13610521,6
598,895.0,Snow Cake,Not Rated,2006-09-08,112.0,54.0,7.4,6000000,13235267,4
599,896.0,Ils,R,2006-07-19,77.0,60.0,6.4,39000000,12796824,3
600,897.0,Stephanie Daley,R,2006-01-21,92.0,77.0,6.3,14000000,12559771,3
601,899.0,Beed-e majnoon,PG,2007-08-03,96.0,74.0,7.4,30000000,12406646,3
603,905.0,In Between Days,Not Rated,2007-06-27,83.0,75.0,6.4,16500000,11892415,1
604,908.0,Les anges exterminateurs,Not Rated,2006-09-13,100.0,54.0,5.4,2000000,11284657,1
605,911.0,Hannah Takes the Stairs,Not Rated,2007-08-22,83.0,63.0,5.6,10500000,11052958,1
606,912.0,The Good Night,R,2008-01-18,93.0,49.0,5.8,13000000,11003643,14
608,916.0,Great World of Sound,R,2007-03-30,106.0,72.0,6.7,15500000,10299782,14
611,922.0,Karov La Bayit,Not Rated,2006-03-16,98.0,64.0,6.9,27500000,9736045,14
