movie_id,title,movie_rating,release_date,runtime,metascore,imdb_rating
44,The Fast and the Furious: Tokyo Drift,PG-13,2006-06-16,104,45.0,6.0
45,Underworld: Evolution,R,2006-01-20,106,36.0,6.7
46,The Shaggy Dog,PG,2006-03-10,98,43.0,4.4
47,Poseidon,PG-13,2006-05-12,98,50.0,5.7
48,The Good Shepherd,R,2006-12-22,167,61.0,6.7
49,Little Miss Sunshine,R,2006-08-18,101,80.0,7.8
50,The Benchwarmers,PG-13,2006-04-07,85,25.0,5.5
51,Curious George,G,2006-02-10,87,62.0,6.5
52,Little Man,PG-13,2006-07-14,98,26.0,4.5
54,Blood Diamond,R,2006-12-08,143,64.0,8.0
55,The Queen,PG-13,2006-11-17,103,91.0,7.3
56,The Guardian,PG-13,2006-09-29,139,53.0,6.9
58,Final Destination 3,R,2006-02-10,93,41.0,5.8
59,The Prestige,PG-13,2006-10-20,130,66.0,8.5
62,Apocalypto,R,2006-12-08,139,68.0,7.8
63,Firewall,PG-13,2006-02-10,105,45.0,5.8
64,Date Movie,PG-13,2006-02-17,83,11.0,2.8
65,When a Stranger Calls,PG-13,2006-02-03,87,27.0,5.1
66,Hostel,R,2006-01-06,94,55.0,5.9
67,Nanny McPhee,PG,2006-01-27,97,59.0,6.6
68,Silent Hill,R,2006-04-21,125,31.0,6.5
69,We Are Marshall,PG,2006-12-22,131,53.0,7.1
70,Glory Road,PG,2006-01-13,118,58.0,7.2
71,Lady in the Water,PG-13,2006-07-21,110,36.0,5.5
72,The Hills Have Eyes,R,2006-03-10,107,52.0,6.4
73,John Tucker Must Die,PG-13,2006-07-28,89,41.0,5.8
74,Stranger Than Fiction,PG-13,2006-11-10,113,67.0,7.5
75,The Illusionist,PG-13,2006-09-01,110,68.0,7.6
76,The Texas Chainsaw Massacre: The Beginning,R,2006-10-06,91,30.0,5.8
77,The Grudge 2,PG-13,2006-10-13,102,33.0,5.1
78,Gridiron Gang,PG-13,2006-09-15,125,52.0,6.9
79,Last Holiday,PG-13,2006-01-13,112,52.0,6.5
80,El laberinto del fauno,R,2007-01-19,118,98.0,8.2
81,The Nativity Story,PG,2006-12-01,101,52.0,6.8
82,Man of the Year,PG-13,2006-10-13,115,39.0,6.2
83,The Wild,G,2006-04-14,82,47.0,5.2
84,16 Blocks,PG-13,2006-03-03,102,63.0,6.6
85,Accepted,PG-13,2006-08-18,93,47.0,6.4
86,The Sentinel,PG-13,2006-04-21,108,49.0,6.1
87,Children of Men,R,2007-01-05,109,84.0,7.9
88,Deck the Halls,PG,2006-11-22,93,28.0,5.0
89,Take the Lead,PG-13,2006-04-07,118,55.0,6.6
90,Babel,R,2006-11-10,143,69.0,7.4
91,Snakes on a Plane,R,2006-08-18,105,58.0,5.4
92,She's the Man,PG-13,2006-03-17,105,45.0,6.3
93,Flags of Our Fathers,R,2006-10-20,135,79.0,7.1
94,United 93,R,2006-04-28,111,90.0,7.6
95,Employee of the Month,PG-13,2006-10-06,103,36.0,5.5
96,The Ant Bully,PG,2006-07-28,88,59.0,5.8
97,Crank,R,2006-09-01,88,57.0,6.9
98,Stick It,PG-13,2006-04-28,103,53.0,6.4
99,The Descent,R,2006-08-04,99,71.0,7.2
100,Thank You for Smoking,R,2006-04-14,92,71.0,7.6
101,Huo Yuan Jia,PG-13,2006-09-22,104,70.0,7.6
103,Clerks II,R,2006-07-21,97,65.0,7.3
104,An Inconvenient Truth,PG,2006-06-30,96,75.0,7.4
105,The Covenant,PG-13,2006-09-08,97,19.0,5.3
106,Stay Alive,PG-13,2006-03-24,85,24.0,5.1
107,The Black Dahlia,R,2006-09-15,121,49.0,5.6
108,My Super Ex-Girlfriend,PG-13,2006-07-21,96,50.0,5.1
109,Lucky Number Slevin,R,2006-04-07,110,53.0,7.7
110,Waist Deep,R,2006-06-23,97,37.0,5.9
111,ATL,PG-13,2006-03-31,105,63.0,6.2
112,Flicka,PG,2006-10-20,95,57.0,6.1
113,A Prairie Home Companion,PG-13,2006-06-09,105,75.0,6.7
114,Pulse,PG-13,2006-08-11,90,27.0,4.8
115,Beerfest,R,2006-08-25,110,46.0,6.3
116,Akeelah and the Bee,PG,2006-04-28,112,72.0,7.4
117,The Marine,PG-13,2006-10-13,92,45.0,4.7
118,Aquamarine,PG,2006-03-03,110,51.0,5.4
119,Ultraviolet,PG-13,2006-03-03,88,18.0,4.4
120,School for Scoundrels,PG-13,2006-09-29,100,44.0,5.9
121,The Last King of Scotland,R,2007-01-19,123,74.0,7.7
122,Notes on a Scandal,R,2007-01-26,92,73.0,7.4
123,Just My Luck,PG-13,2006-05-12,103,29.0,5.4
124,Annapolis,PG-13,2006-01-27,108,37.0,5.9
125,Unaccompanied Minors,PG,2006-12-08,90,43.0,5.3
128,Marie Antoinette,PG-13,2006-10-20,123,65.0,6.5
129,Larry the Cable Guy: Health Inspector,PG-13,2006-03-24,89,21.0,3.5
132,Everyone's Hero,G,2006-09-15,87,51.0,5.7
133,Hollywoodland,R,2006-09-08,126,62.0,6.5
134,Letters from Iwo Jima,R,2007-02-02,141,89.0,7.9
135,One Night with the King,PG,2006-10-13,123,38.0,6.1
136,Friends with Money,R,2006-04-21,88,68.0,5.8
137,Flyboys,PG-13,2006-09-22,140,47.0,6.5
138,How to Eat Fried Worms,PG,2006-08-25,80,56.0,5.4
139,Volver,R,2007-01-26,121,84.0,7.6
141,Idlewild,R,2006-08-25,121,55.0,6.2
142,Freedomland,R,2006-02-17,113,43.0,5.1
143,Tom yum goong,R,2006-09-08,111,52.0,7.1
144,Zoom,PG,2006-08-11,83,26.0,4.4
145,End of the Spear,PG-13,2006-01-20,108,45.0,6.8
146,Dave Chappelle's Block Party,R,2006-03-03,103,84.0,7.2
147,The Last Kiss,R,2006-09-15,104,57.0,6.4
148,Something New,PG-13,2006-02-03,99,64.0,6.7
149,Material Girls,PG,2006-08-18,98,17.0,4.0
150,Bobby,R,2006-11-23,117,54.0,7.0
151,Scoop,PG-13,2006-07-28,96,48.0,6.6
152,Roving Mars,G,2006-01-27,40,58.0,7.3
153,Facing the Giants,PG,2006-09-29,111,38.0,6.6
154,The Fountain,PG-13,2006-11-22,97,51.0,7.2
155,Transamerica,R,2006-03-03,103,66.0,7.4
156,Tenacious D in The Pick of Destiny,R,2006-11-22,93,55.0,6.8
157,Hoot,PG,2006-05-05,91,46.0,5.5
158,The Painted Veil,PG-13,2007-01-19,125,69.0,7.5
159,The Night Listener,R,2006-08-04,91,51.0,5.9
160,Slither,R,2006-03-31,95,69.0,6.5
161,The Return,PG-13,2006-11-10,85,38.0,4.7
162,Doogal,G,2006-02-24,78,23.0,2.9
163,A Good Year,PG-13,2006-11-10,117,47.0,7.0
164,American Dreamz,PG-13,2006-04-21,107,45.0,5.4
165,All the King's Men,PG-13,2006-09-22,128,37.0,6.2
166,Phat Girlz,PG-13,2006-04-07,99,36.0,3.3
167,Turistas,R,2006-12-01,93,36.0,5.4
168,Crossover,PG-13,2006-09-01,95,30.0,2.2
169,Running with Scissors,R,2006-10-27,116,52.0,6.1
170,Running Scared,R,2006-02-24,122,41.0,7.3
171,Man cheng jin dai huang jin jia,R,2007-01-12,114,70.0,7.0
172,Grandma's Boy,R,2006-01-06,94,33.0,7.0
173,Basic Instinct 2,R,2006-03-31,114,26.0,4.4
174,For Your Consideration,PG-13,2006-11-22,86,68.0,6.3
175,Water,PG-13,2006-05-26,117,77.0,7.7
176,A Scanner Darkly,R,2006-07-28,100,73.0,7.1
177,Little Children,R,2007-02-09,137,75.0,7.5
178,La science des rêves,R,2006-09-29,105,70.0,7.3
179,Let's Go to Prison,R,2006-11-17,84,27.0,6.0
180,Keeping Up with the Steins,PG-13,2006-06-02,90,57.0,5.4
181,Catch a Fire,PG-13,2006-10-27,101,62.0,6.7
182,Trailer Park Boys: The Movie,R,2006-10-06,95,38.0,7.2
183,Venus,R,2007-02-16,95,82.0,7.1
184,Harsh Times,R,2006-11-10,116,56.0,6.9
185,Art School Confidential,R,2006-05-12,102,54.0,6.3
187,Wordplay,PG,2006-07-21,94,73.0,7.4
188,Miss Potter,PG,2007-03-09,88,57.0,7.0
189,Tsotsi,R,2006-03-31,94,70.0,7.2
190,Peaceful Warrior,PG-13,2006-06-23,120,40.0,7.3
191,La mujer de mi hermano,R,2006-04-21,89,41.0,6.1
192,The History Boys,R,2006-12-22,109,74.0,6.8
193,Half Nelson,R,2006-09-22,106,85.0,7.2
195,The Lost City,R,2006-05-26,144,47.0,6.6
197,BloodRayne,R,2006-01-06,95,18.0,2.9
199,Perfume: The Story of a Murderer,R,2007-01-05,147,56.0,7.5
203,Brick,R,2006-04-14,110,72.0,7.2
204,Strangers with Candy,R,2006-07-21,97,57.0,6.0
205,Shortbus,Not Rated,2006-10-20,101,64.0,6.4
206,The Proposition,R,2006-06-09,104,73.0,7.3
209,Kinky Boots,PG-13,2006-05-26,107,57.0,7.1
212,Who Killed the Electric Car?,PG,2006-08-04,92,70.0,7.6
213,Keeping Mum,R,2006-10-06,99,53.0,6.8
214,Trust the Man,R,2006-09-01,103,43.0,5.7
215,Nochnoy dozor,R,2006-03-03,114,58.0,6.4
216,Krrish,Not Rated,2006-06-23,154,68.0,6.4
220,The Good German,R,2007-01-19,105,49.0,6.0
222,Shut Up and Sing,R,2009-11-13,96,39.0,5.7
223,The Celestine Prophecy,PG,2006-07-20,99,23.0,4.9
224,Banlieue 13,R,2006-06-02,84,70.0,7.1
225,Find Me Guilty,R,2006-03-17,125,65.0,7.0
226,Infamous,R,2006-10-13,110,68.0,7.1
227,The U.S. vs. John Lennon,PG-13,2006-12-07,99,64.0,7.3
229,Leonard Cohen: I'm Your Man,PG-13,2006-07-28,105,68.0,6.8
230,Hard Candy,R,2006-04-28,104,58.0,7.1
231,Fast Food Nation,R,2007-05-04,116,64.0,6.3
232,Breaking and Entering,R,2006-11-10,120,56.0,6.5
234,Vers le sud,Unrated,2006-01-25,108,73.0,6.4
235,Looking for Comedy in the Muslim World,PG-13,2006-01-20,98,53.0,5.4
236,Inland Empire,R,2007-02-07,180,73.0,6.9
241,Ask the Dust,R,2006-04-13,117,58.0,5.8
244,Wu ji,PG-13,2006-05-05,121,53.0,5.6
245,Another Gay Movie,Not Rated,2007-05-03,92,37.0,5.0
252,Death of a President,R,2006-12-21,97,49.0,6.3
253,A Guide to Recognizing Your Saints,R,2006-10-13,100,67.0,7.0
257,The Heart of the Game,PG-13,2006-07-07,97,74.0,7.6
258,Idiocracy,R,2007-01-25,84,66.0,6.6
260,The Second Chance,PG-13,2006-02-17,102,52.0,6.6
261,When Do We Eat?,R,2006-04-07,86,37.0,5.9
262,Conversations with God,PG,2006-10-27,109,35.0,6.6
263,The Oh in Ohio,R,2007-02-02,88,48.0,5.5
264,The Quiet,R,2006-08-25,96,29.0,6.2
265,Conversations with Other Women,R,2007-05-18,84,62.0,7.0
266,Shadowboxer,R,2006-07-14,93,33.0,5.5
267,Copying Beethoven,PG-13,2007-03-08,104,59.0,6.8
269,The Devil and Daniel Johnston,PG-13,2006-05-05,110,77.0,7.9
275,Indigènes,R,2006-09-27,120,82.0,7.0
276,Steve Harvey: Don't Trip... He Ain't Through with Me Yet,PG,2006-03-17,90,59.0,6.4
277,Adam,PG-13,2009-08-28,99,56.0,7.2
278,This Film Is Not Yet Rated,NC-17,2006-09-01,98,75.0,7.5
282,The King,R,2019-11-01,140,62.0,7.2
283,American Hardcore,R,2006-01-21,100,69.0,7.3
285,Old Joy,Unrated,2007-01-26,76,84.0,6.8
289,Broken Bridges,PG-13,2006-09-08,105,32.0,6.1
293,Driving Lessons,PG-13,2006-10-13,98,56.0,6.7
294,Wah-Wah,R,2006-06-02,120,61.0,6.8
295,Drawing Restraint 9,Not Rated,2006-03-29,135,61.0,6.4
296,Confetti,R,2006-05-05,100,57.0,5.7
299,Fur: An Imaginary Portrait of Diane Arbus,R,2006-10-20,122,50.0,6.4
301,Wassup Rockers,R,2006-04-05,111,56.0,6.0
305,Tamara,R,2006-02-03,98,34.0,5.1
309,Sherrybaby,R,2007-02-09,96,66.0,6.6
311,The Puffy Chair,R,2007-04-27,85,73.0,6.5
315,Our Brand Is Crisis,R,2015-10-30,107,53.0,6.1
322,Off the Black,R,2006-12-08,90,62.0,6.6
324,Bubble,R,2006-01-27,73,63.0,6.6
325,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,PG-13,2006-07-07,97,67.0,7.3
330,Stolen,R,2012-09-06,96,43.0,5.5
331,Edmond,R,2006-11-24,82,61.0,6.2
334,The Groomsmen,R,2006-09-22,98,57.0,6.1
336,Flannel Pajamas,R,2006-01-22,124,49.0,6.0
337,13 Tzameti,Not Rated,2006-02-08,93,61.0,7.4
338,Iklimler,Unrated,2006-10-20,98,72.0,7.1
339,Come Early Morning,R,2007-08-31,97,64.0,6.1
341,Sir! No Sir!,Not Rated,2009-09-24,85,74.0,7.7
344,Winter Passing,R,2006-06-15,98,56.0,6.3
349,Mutual Appreciation,R,2007-05-04,109,84.0,6.7
351,Red Doors,R,2006-09-08,90,60.0,6.4
353,Black Gold,R,2013-02-01,130,32.0,6.7
358,Color of the Cross,PG-13,2006-11-09,108,34.0,2.8
359,51 Birch Street,Unrated,2006-10-18,90,77.0,7.2
366,Lü cao di,Not Rated,2006-08-03,102,64.0,6.6
369,Renaissance,R,2007-06-22,105,57.0,6.7
371,Beowulf,PG-13,2007-11-16,115,59.0,6.2
373,Tideland,R,2006-08-11,120,26.0,6.5
374,Absolute Wilson,Unrated,2006-10-12,105,69.0,7.1
379,Feast,R,2007-01-18,95,43.0,6.3
386,Plagues and Pleasures on the Salton Sea,Not Rated,2006-02-24,74,72.0,7.3
388,Moonlight,R,2016-11-18,111,99.0,7.4
390,Mini's First Time,R,2006-07-14,91,45.0,5.8
394,The Zodiac,R,2006-08-03,92,21.0,5.4
395,Candy,R,2006-05-25,108,57.0,7.2
396,Brothers of the Head,R,2006-10-06,93,67.0,6.3
403,Eating Out 2: Sloppy Seconds,Not Rated,2007-07-05,79,39.0,6.2
405,Man Push Cart,Not Rated,2006-05-10,87,71.0,7.0
412,Free Zone,Not Rated,2006-04-07,90,51.0,5.7
430,Henri Cartier-Bresson - Biographie eines Blicks,Not Rated,2007-07-12,72,59.0,7.3
435,American Gun,R,2007-12-26,95,48.0,6.1
446,The Ground Truth: After the Killing Ends,R,2006-01-19,72,74.0,7.6
447,The Dead Girl,R,2007-04-26,85,65.0,6.6
454,So Much So Fast,Not Rated,2006-10-11,87,79.0,7.5
463,Opal Dream,PG,2006-11-22,86,56.0,6.6
465,The Architect,R,2006-04-26,82,47.0,5.5
466,Who the #$&% Is Jackson Pollock?,PG-13,2006-11-09,74,70.0,7.0
467,Spider-Man 3,PG-13,2007-05-04,139,59.0,6.2
468,Shrek the Third,PG,2007-05-18,93,58.0,6.1
469,Transformers,PG-13,2007-07-03,144,61.0,7.0
470,Pirates of the Caribbean: At World's End,PG-13,2007-05-25,169,50.0,7.1
471,Harry Potter and the Order of the Phoenix,PG-13,2007-07-11,138,71.0,7.5
472,I Am Legend,PG-13,2007-12-14,101,65.0,7.2
473,The Bourne Ultimatum,PG-13,2007-08-03,115,85.0,8.0
474,National Treasure: Book of Secrets,PG,2007-12-21,124,48.0,6.5
475,Alvin and the Chipmunks,PG,2007-12-14,92,39.0,5.2
476,300,R,2007-03-09,117,52.0,7.6
477,Ratatouille,G,2007-06-29,111,96.0,8.0
478,The Simpsons Movie,PG-13,2007-07-27,87,80.0,7.3
479,Wild Hogs,PG-13,2007-03-02,100,27.0,5.8
480,Knocked Up,R,2007-06-01,129,85.0,6.9
481,Juno,PG-13,2007-12-25,96,81.0,7.4
482,Rush Hour 3,PG-13,2007-08-10,91,44.0,6.2
483,Live Free or Die Hard,PG-13,2007-06-27,128,69.0,7.1
484,American Gangster,R,2007-11-02,157,76.0,7.8
485,Enchanted,PG,2007-11-21,107,75.0,7.0
486,Bee Movie,PG,2007-11-02,91,54.0,6.1
487,Superbad,R,2007-08-17,113,76.0,7.6
488,Hairspray,PG,2007-07-20,117,81.0,6.7
489,Blades of Glory,PG-13,2007-03-30,93,64.0,6.3
490,Ocean's Thirteen,PG-13,2007-06-08,122,62.0,6.9
491,Ghost Rider,PG-13,2007-02-16,110,35.0,5.3
492,Evan Almighty,PG,2007-06-22,96,37.0,5.4
493,Meet the Robinsons,G,2007-03-30,95,61.0,6.8
494,Norbit,PG-13,2007-02-09,102,27.0,4.1
495,The Bucket List,PG-13,2008-01-11,97,42.0,7.4
496,The Game Plan,PG,2007-09-28,110,44.0,6.1
497,Beowulf,PG-13,2007-11-16,115,59.0,6.2
498,Bridge to Terabithia,PG,2007-02-16,96,74.0,7.2
499,Disturbia,PG-13,2007-04-13,105,62.0,6.8
500,No Country for Old Men,R,2007-11-21,122,91.0,8.1
501,Fred Claus,PG,2007-11-09,116,42.0,5.6
502,1408,PG-13,2007-06-22,104,64.0,6.8
503,The Golden Compass,PG-13,2007-12-07,113,51.0,6.1
504,Charlie Wilson's War,R,2007-12-21,102,67.0,7.0
505,Saw IV,R,2007-10-26,93,36.0,5.9
506,Stomp the Yard,PG-13,2007-01-12,115,44.0,5.5
507,Surf's Up,PG,2007-06-08,85,64.0,6.7
509,Why Did I Get Married?,PG-13,2007-10-12,113,54.0,5.9
510,TMNT,PG,2007-03-23,103,41.0,6.2
511,P.S. I Love You,PG-13,2007-12-21,126,39.0,7.0
512,3:10 to Yuma,R,2007-09-07,122,76.0,7.7
513,Sweeney Todd: The Demon Barber of Fleet Street,R,2007-12-21,116,83.0,7.3
514,Atonement,R,2008-01-11,123,85.0,7.8
515,Resident Evil: Extinction,R,2007-09-21,94,41.0,6.2
516,Music and Lyrics,PG-13,2007-02-14,104,59.0,6.5
517,Are We Done Yet?,PG,2007-04-04,92,36.0,4.3
518,This Christmas,PG-13,2007-11-21,117,63.0,6.3
519,Michael Clayton,R,2007-10-12,119,82.0,7.2
520,Premonition,PG-13,2007-03-16,96,29.0,5.9
521,Dan in Real Life,PG-13,2007-10-26,98,65.0,6.7
523,Shooter,R,2007-03-23,124,53.0,7.2
524,License to Wed,PG-13,2007-07-03,91,25.0,5.3
525,Underdog,PG,2007-08-03,84,37.0,4.8
526,No Reservations,PG,2007-07-27,104,50.0,6.3
527,Because I Said So,PG-13,2007-02-02,102,26.0,5.7
528,AVPR: Aliens vs Predator - Requiem,R,2007-12-25,94,29.0,4.6
530,There Will Be Blood,R,2008-01-25,158,93.0,8.2
531,Epic Movie,PG-13,2007-01-26,86,17.0,2.4
532,Hitman,R,2007-11-21,100,35.0,6.3
533,30 Days of Night,R,2007-10-19,113,53.0,6.6
534,Fracture,R,2007-04-20,113,68.0,7.2
535,Stardust,PG-13,2007-08-10,127,66.0,7.6
536,The Brave One,R,2007-09-14,122,56.0,6.7
537,The Heartbreak Kid,R,2007-10-05,116,46.0,5.8
538,Freedom Writers,PG-13,2007-01-05,123,64.0,7.6
539,Smokin' Aces,R,2007-01-26,108,45.0,6.7
540,The Messengers,PG-13,2007-02-02,90,34.0,5.4
542,Good Luck Chuck,R,2007-09-21,96,19.0,5.6
543,Mr. Bean's Holiday,G,2007-08-24,90,56.0,6.4
544,Zodiac,R,2007-03-02,157,78.0,7.7
545,Breach,PG-13,2007-02-16,110,74.0,7.0
546,Balls of Fury,PG-13,2007-08-29,90,38.0,5.3
547,Mr. Magorium's Wonder Emporium,G,2007-11-16,93,48.0,6.2
548,August Rush,PG,2007-11-21,114,38.0,7.5
549,Daddy's Little Girls,PG-13,2007-02-14,100,49.0,5.8
550,The Great Debaters,PG-13,2007-12-25,126,65.0,7.5
551,28 Weeks Later,R,2007-05-11,100,78.0,6.9
552,We Own the Night,R,2007-10-12,117,59.0,6.8
553,Mr. Brooks,R,2007-06-01,120,45.0,7.3
554,Hannibal Rising,R,2007-02-09,121,35.0,6.2
555,The Nanny Diaries,PG-13,2007-08-24,105,46.0,6.2
556,Mr. Woodcock,PG-13,2007-09-14,87,41.0,5.1
557,The Mist,R,2007-11-21,126,58.0,7.1
558,Nancy Drew,PG,2007-06-15,99,53.0,5.9
559,The Reaping,R,2007-04-05,99,36.0,5.6
560,Grindhouse,R,2007-04-06,191,77.0,7.5
561,Sicko,PG-13,2007-07-03,123,74.0,7.9
562,Across the Universe,PG-13,2007-10-12,133,56.0,7.3
563,Perfect Stranger,R,2007-04-13,109,31.0,5.7
565,Hot Fuzz,R,2007-04-20,121,81.0,7.8
566,War,R,2007-08-24,103,36.0,6.2
567,The Last Mimzy,PG,2007-03-23,90,59.0,6.2
568,Amazing Grace,PG,2007-02-23,118,65.0,7.4
569,The Hills Have Eyes II,R,2007-03-23,89,32.0,5.1
570,The Invisible,PG-13,2007-04-27,102,36.0,6.2
571,Reno 911!: Miami,R,2007-02-23,84,47.0,5.9
572,Gone Baby Gone,R,2007-10-19,114,72.0,7.6
573,Reign Over Me,R,2007-03-23,124,61.0,7.4
574,Waitress,PG-13,2007-05-25,108,75.0,7.0
575,Vacancy,R,2007-04-20,85,54.0,6.2
576,Georgia Rule,R,2007-05-11,113,25.0,5.9
577,Becoming Jane,PG,2007-08-10,120,55.0,7.0
578,Into the Wild,R,2007-10-19,148,73.0,8.1
579,Walk Hard: The Dewey Cox Story,R,2007-12-21,96,63.0,6.8
580,Next,PG-13,2007-04-27,96,42.0,6.2
581,Hostel: Part II,R,2007-06-08,94,46.0,5.5
582,Eastern Promises,R,2007-09-21,100,82.0,7.6
583,Dead Silence,R,2007-03-16,89,34.0,6.2
585,Elizabeth: The Golden Age,PG-13,2007-10-12,114,45.0,6.8
586,Happily N'Ever After,PG,2007-01-05,87,28.0,4.5
587,The Kite Runner,PG-13,2008-01-11,128,61.0,7.6
588,Catch and Release,PG-13,2007-01-26,124,43.0,6.0
589,Alpha Dog,R,2007-01-12,122,53.0,6.9
590,Arthur et les Minimoys,PG,2007-01-12,94,39.0,6.0
591,The Invasion,PG-13,2007-08-17,99,45.0,5.9
592,Lions for Lambs,R,2007-11-09,92,47.0,6.2
593,Awake,R,2007-11-30,84,33.0,6.5
594,Hot Rod,PG-13,2007-08-03,88,43.0,6.7
595,Firehouse Dog,PG,2007-04-04,111,43.0,5.5
596,The Namesake,PG-13,2007-04-06,122,82.0,7.5
597,The Comebacks,PG-13,2007-10-19,84,25.0,4.3
598,Daddy Day Camp,PG,2007-08-08,93,13.0,3.2
599,Shoot 'Em Up,R,2007-09-07,86,49.0,6.6
600,I Think I Love My Wife,R,2007-03-16,90,49.0,5.5
601,Evening,PG-13,2007-06-29,117,45.0,6.5
602,The Darjeeling Limited,R,2007-10-26,91,67.0,7.2
603,Sydney White,PG-13,2007-09-21,108,45.0,6.2
604,Das Leben der Anderen,R,2007-03-30,137,89.0,8.4
605,In the Land of Women,PG-13,2007-04-20,97,47.0,6.4
606,The Astronaut Farmer,PG,2007-02-23,104,55.0,6.3
608,La Môme,PG-13,2007-07-20,140,66.0,7.6
609,Pathfinder,R,2007-04-13,99,29.0,5.4
610,Bratz,PG,2007-08-03,110,21.0,3.1
611,Rendition,R,2007-10-19,122,55.0,6.8
612,Death Sentence,R,2007-08-31,105,36.0,6.7
613,Once,R,2007-06-15,86,88.0,7.8
614,Black Snake Moan,R,2007-03-02,116,52.0,6.9
615,A Mighty Heart,R,2007-06-22,108,74.0,6.6
616,The Seeker: The Dark Is Rising,PG,2007-10-05,99,38.0,4.8
617,Death at a Funeral,R,2007-09-07,90,67.0,7.4
618,Code Name: The Cleaner,PG-13,2007-01-05,84,33.0,4.6
619,Delta Farce,PG-13,2007-05-11,90,17.0,3.6
620,Bella,PG-13,2007-11-30,91,47.0,7.1
621,El cantante,R,2007-08-03,106,46.0,5.5
623,The Condemned,R,2007-04-27,113,23.0,6.0
624,I Know Who Killed Me,R,2007-07-27,105,16.0,3.6
625,The Hoax,R,2007-04-20,116,70.0,6.7
626,El orfanato,R,2008-01-11,105,74.0,7.4
627,Before the Devil Knows You're Dead,R,2007-10-26,117,85.0,7.3
628,Pride,R,2014-09-12,119,79.0,7.8
629,Bug,R,2007-05-25,102,62.0,6.1
631,In the Valley of Elah,R,2007-09-28,121,65.0,7.1
632,The Savages,R,2008-02-01,113,85.0,7.1
633,P2,R,2007-11-09,98,37.0,5.9
634,Le scaphandre et le papillon,PG-13,2008-02-01,112,92.0,8.0
635,Lars and the Real Girl,PG-13,2007-11-02,106,70.0,7.3
636,The Last Legion,PG-13,2007-08-17,101,37.0,5.4
637,Feel the Noise,PG-13,2007-10-05,86,36.0,3.0
638,The Perfect Holiday,PG,2007-12-12,96,32.0,4.7
639,Lucky You,PG-13,2007-05-04,124,49.0,5.9
640,Who's Your Caddy?,PG-13,2007-07-27,93,18.0,2.2
641,Rescue Dawn,PG-13,2007-07-27,120,77.0,7.3
642,"Paris, je t'aime",R,2007-06-15,120,66.0,7.2
643,Love in the Time of Cholera,R,2007-11-16,139,43.0,6.4
644,"Se, jie",NC-17,2007-10-26,157,61.0,7.5
645,The Lookout,R,2007-03-30,99,73.0,7.0
