genre_id,genre_name
583,"Crime, Horror, Mystery"
585,"Biography, Drama, History"
586,"Animation, Adventure, Comedy"
587,Drama
588,"Comedy, Drama, Romance"
589,"Biography, Crime, Drama"
590,"Animation, Adventure, Comedy"
591,"Sci-Fi, Thriller"
592,"Crime, Drama, Mystery"
593,"Crime, Drama, Mystery"
594,"Comedy, Sport"
595,"Action, Comedy, Family"
596,Drama
597,"Comedy, Sport"
598,"Comedy, Family"
599,"Action, Thriller"
600,"Comedy, Drama, Romance"
601,"Drama, Romance"
602,"Adventure, Comedy, Drama"
603,"Comedy, Drama, Romance"
604,"Drama, Mystery, Thriller"
605,"Comedy, Drama, Romance"
606,"Adventure, Drama, Sci-Fi"
608,"Biography, Drama, Music"
609,"Action, Adventure, Drama"
610,"Comedy, Family, Music"
611,"Drama, Thriller"
612,"Action, Crime, Drama"
613,"Drama, Music, Romance"
614,"Drama, Music"
615,"Biography, Drama, History"
616,"Adventure, Drama, Family"
617,Comedy
618,"Action, Comedy, Crime"
619,"Action, Adventure, Comedy"
620,"Drama, Romance"
621,"Biography, Drama, Music"
623,"Action, Crime, Thriller"
624,"Crime, Mystery, Thriller"
625,"Biography, Comedy, Drama"
626,"Drama, Horror, Mystery"
627,"Crime, Drama, Thriller"
628,"Biography, Comedy, Drama"
629,"Drama, Horror, Thriller"
631,"Crime, Drama, Mystery"
632,"Comedy, Drama"
633,"Crime, Horror, Thriller"
634,"Biography, Drama"
635,"Comedy, Drama, Romance"
636,"Action, Adventure, War"
637,"Drama, Music"
638,"Comedy, Family, Fantasy"
639,"Drama, Romance, Sport"
640,"Comedy, Sport"
641,"Action, Biography, Drama"
642,"Comedy, Drama, Romance"
643,"Drama, Romance"
644,"Drama, History, Romance"
645,"Crime, Drama, Thriller"
646,Drama
647,"Biography, Drama, History"
648,Comedy
649,"Animation, Biography, Drama"
650,"Drama, Thriller, War"
651,"Action, Adventure, Comedy"
652,"Biography, Crime, Drama"
656,"Comedy, Drama, Romance"
657,"Drama, Fantasy, Horror"
658,"Drama, Romance"
659,"Drama, Family, Romance"
660,Drama
661,"Drama, Sport"
663,"Crime, Drama, Thriller"
664,"Biography, Drama, Sport"
666,"Crime, Horror, Mystery"
667,"Comedy, Crime, Romance"
668,"Comedy, Drama"
669,"Action, Drama, Horror"
670,Drama
671,"Comedy, Drama"
672,"Drama, War"
673,"Biography, Drama"
674,"Comedy, Drama"
675,Drama
678,Comedy
680,"Horror, Mystery, Thriller"
681,"Drama, Mystery, Thriller"
684,"Drama, Sport"
685,"Crime, Mystery, Sci-Fi"
686,"Drama, Romance"
688,"Drama, History, Romance"
689,"Drama, History, Romance"
692,"Action, Fantasy, Horror"
694,"Biography, Drama, History"
695,"Comedy, Drama, Romance"
697,"Biography, Crime, Drama"
698,"Drama, Romance"
699,Comedy
700,"Drama, Musical, Romance"
702,"Adventure, Comedy, Drama"
703,"Comedy, Drama, Family"
704,"Biography, Drama, Music"
705,Documentary
706,"Documentary, Family"
707,"Action, Adventure, Family"
709,"Comedy, Romance"
710,"Comedy, Drama"
713,"Drama, Romance"
716,"Documentary, Biography, Sport"
717,"Biography, Comedy"
718,Drama
720,"Drama, Horror, Thriller"
721,"Action, Adventure, Mystery"
722,"Action, Fantasy, Horror"
723,"Crime, Drama"
727,"Action, Drama, Thriller"
728,Drama
729,"Crime, Drama, Mystery"
731,Drama
734,"Crime, Drama"
735,"Documentary, Romance"
736,Drama
737,"Comedy, Drama"
738,Documentary
739,"Documentary, Romance"
740,"Comedy, Drama, Horror"
744,"Adventure, Comedy, Drama"
745,"Comedy, Drama, Mystery"
747,"Comedy, Drama"
749,"Comedy, Drama"
750,"Documentary, Sport"
751,"Adventure, Comedy, Family"
753,"Biography, Drama, History"
754,"Drama, Fantasy, Mystery"
755,"Drama, History"
757,"Comedy, Drama, Fantasy"
758,"Documentary, Music"
761,"Comedy, Romance"
762,"Drama, Romance"
764,"Drama, Thriller"
765,"Crime, Drama, Thriller"
767,"Drama, Music, Thriller"
768,"Action, Adventure, Biography"
772,"Documentary, Comedy"
773,"Comedy, Romance"
774,"Biography, Crime, Drama"
775,"Drama, Music"
776,"Comedy, Drama, Sport"
778,"Documentary, Biography"
779,"Comedy, Horror, Thriller"
780,"Drama, Sport"
781,"Comedy, Drama, Romance"
784,Drama
787,"Biography, History, War"
788,"Comedy, Drama, Romance"
789,"Drama, Mystery, Thriller"
790,"Biography, Comedy, Drama"
791,Documentary
795,"Comedy, Horror, Thriller"
800,"Action, Comedy, Thriller"
804,"Documentary, Music, War"
806,Documentary
807,"Documentary, Biography, History"
808,"Documentary, Biography"
809,Comedy
811,"Crime, Drama, Thriller"
813,Documentary
815,"Drama, Thriller"
817,"Comedy, Drama, Romance"
818,"Comedy, Drama"
822,"Biography, Drama"
823,"Drama, Thriller"
825,"Comedy, Horror, Sci-Fi"
828,"Comedy, Drama, Romance"
829,"Crime, Drama, Mystery"
835,"Comedy, Drama, Family"
836,"Comedy, Romance"
838,"Comedy, Drama"
841,"Comedy, Horror, Thriller"
843,"Comedy, Drama"
844,"Crime, Thriller, War"
846,"Drama, Sci-Fi, Thriller"
847,"Crime, Drama"
848,"Drama, Fantasy, Mystery"
849,"Drama, Romance"
850,Drama
851,Drama
854,Documentary
855,Comedy
856,"Action, Crime, Thriller"
858,Comedy
859,"Drama, War"
863,Documentary
864,"Drama, War"
867,"Comedy, Drama"
870,"Drama, Thriller"
872,"Action, Drama, War"
877,"Adventure, Horror"
878,"Comedy, Drama"
879,"Documentary, Biography, Comedy"
885,"Action, Crime, Drama"
887,Drama
888,"Horror, Mystery, Thriller"
891,"Adventure, Drama, Horror"
892,"Drama, Music, Romance"
895,"Drama, Romance"
896,"Horror, Thriller"
897,Drama
899,Drama
901,Documentary
905,Drama
908,"Drama, Fantasy"
911,"Comedy, Drama, Romance"
912,"Comedy, Drama, Fantasy"
915,Documentary
916,"Comedy, Drama, Music"
917,"Biography, Crime, Drama"
920,"Adventure, Drama, Mystery"
922,Drama
926,"Comedy, Drama, Romance"
928,"Comedy, Crime"
930,"Documentary, Romance"
931,"Comedy, Romance"
933,Drama
940,"Action, Crime, Drama"
941,"Action, Adventure, Sci-Fi"
942,"Action, Adventure"
943,"Action, Drama, Fantasy"
944,"Animation, Adventure, Family"
945,"Animation, Action, Adventure"
946,"Drama, Fantasy, Romance"
947,"Animation, Adventure, Comedy"
948,"Action, Adventure, Thriller"
949,"Animation, Adventure, Comedy"
950,"Comedy, Drama, Romance"
951,Drama
952,"Comedy, Musical, Romance"
954,"Action, Adventure, Family"
955,"Drama, Romance"
956,"Action, Adventure, Sci-Fi"
957,"Action, Crime, Thriller"
958,"Action, Adventure, Comedy"
959,"Drama, Fantasy, Romance"
960,"Comedy, Drama, Romance"
961,"Animation, Adventure, Comedy"
962,"Action, Comedy, War"
963,"Adventure, Comedy, Family"
964,"Action, Fantasy, Horror"
965,"Action, Adventure, Family"
966,"Action, Mystery, Thriller"
967,Comedy
968,Comedy
969,"Comedy, Romance"
970,"Action, Adventure, Drama"
971,"Adventure, Comedy, Drama"
972,"Comedy, Drama, Family"
973,"Action, Comedy, Crime"
974,"Drama, History, Thriller"
975,"Crime, Drama, History"
976,"Comedy, Romance"
977,"Action, Adventure, Sci-Fi"
